"year" "Perufish" "Francefish" "fish"
"V5" 3502700 "3502700" " 651576" 651576
"V6" 5216500 "5216500" " 674920" 674920
"V7" 6884300 "6884300" " 654311" 654311
"V8" 6822000 "6822000" " 689299" 689299
"V9" 9037700 "9037700" " 709330" 709330
"V10" 7385400 "7385400" " 745249" 745249
"V11" 8712500 "8712500" " 799698" 799698
"V12" 10057700 "10057700" "  810052" 810052
"V13" 10444405 "10444405" "  829986" 829986
"V14" 9147515 "9147515" " 750969" 750969
"V15" 12484240 "12484240" "  752458" 752458
"V16" 10507154 "10507154" "  761294" 761294
"V17" 4678399 "4678399" " 725937" 725937
"V18" 2295861 "2295861" " 764694" 764694
"V19" 4126080 "4126080" " 747194" 747194
"V20" 3415487 "3415487" " 714393" 714393
"V21" 4343785 "4343785" " 713101" 713101
"V22" 2503892 "2503892" " 656550" 656550
"V23" 3443705 "3443705.0" " 696895.3" 696895.3
"V24" 3653017 "3653017.0" " 649366.3" 649366.3
"V25" 2709923 "2709923.0" " 652110.9" 652110.9
"V26" 2718481 "2718481.0" " 673271.9" 673271.9
"V27" 3515081 "3515081.0" " 668074.6" 668074.6
"V28" 1570508 "1570508.0" " 687885.5" 687885.5
"V29" 3320188 "3320188.0" " 677794.5" 677794.5
"V30" 4138458 "4138458.0" " 695266.4" 695266.4
"V31" 5616763 "5616763.0" " 716684.6" 716684.6
"V32" 4587842 "4587842.0" " 694891.5" 694891.5
"V33" 6642111 "6642111.0" " 741153.1" 741153.1
"V34" 6854349 "6854349.0" " 719597.4" 719597.4
"V35" 6874400 "6874400.0" " 699221.8" 699221.8
"V36" 6905099 "6905099.0" " 657306.5" 657306.5
"V37" 7508289 "7508289.0" " 668299.5" 668299.5
"V38" 9009882 "9009882.0" " 680185.5" 680185.5
"V39" 12005290 "12005290.0" "  703920.6" 703920.6
"V40" 8943526 "8943526.0" " 688459.3" 688459.3
"V41" 9523079 "9523079.0" " 643217.9" 643217.9
"V42" 7877802 "7877802.0" " 642478.5" 642478.5
"V43" 4353248 "4353248.0" " 610416.5" 610416.5
"V44" 8437389 "8437389.0" " 657039.8" 657039.8
"V45" 10665173 "10665173.0" "  694452.6" 694452.6
"V46" 7999263 "7999263.0" " 671905.7" 671905.7
"V47" 8782897 "8782897" " 701925" 701925
"V48" 6107545 "6107545.0" " 709038.7" 709038.7
"V49" 9634059 "9634059.0" " 664898.2" 664898.2
"V50" 9419469 "9419469.0" " 598482.8" 598482.8
"V51" 7049318 "7049318.0" " 595153.9" 595153.9
"V52" 7260861 "7260861.0" " 553685.7" 553685.7
"V53" 7451437 "7451437.0" " 500162.8" 500162.8
"V54" 6977772 "6977772.0" " 440199.3" 440199.3
"V55" 4394996 "4394996.0" " 452243.5" 452243.5
"V56" 8347157 "8347157" " 502006" 502006
"V57" 4925052.8 "4925052.8" " 473308.8" 473308.8
"V58" 6002185.9 "6002185.9" " 540519.9" 540519.9
"V59" 3714324.4 "3714324.4" " 548001.9" 548001.9
"V60" 4934836 "4934836" " 541593" 541593
"V61" 3928938.1 "3928938.1" " 558248.9" 558248.9
"V62" 4285651.4 "4285651.4" " 553672.2" 553672.2
"V63" 7349861.9 "7349861.9" " 578630.5" 578630.5
"V64" 5014100 "5014100.0" " 523735.6" 523735.6
"V65" 5820795.2 "5820795.2" " 478162.6" 478162.6
"V66" 6726988.6 "6726988.6" " 510109.6" 510109.6
"V67" NA NA NA NA
