Data Source;World Development Indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Last Updated Date;26/10/2023;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Country Name;Country Code;Indicator Name;Indicator Code;1960;1961;1962;1963;1964;1965;1966;1967;1968;1969;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021;2022
Aruba;ABW;Total fisheries production (metric tons);ER.FSH.PROD.MT;200;200;300;300;300;300;300;400;400;400;400;400;400;500;550;600;650;700;770;770;770;770;770;770;770;770;700;620;550;480;420;350;300;260;260;140;160;205;182;175;163;163;163;160;162;162;145;159;151;163;153;168;138;145;152;150;150;149.5;150;164.5;161.5;166.5;
Africa Eastern and Southern;AFE;Total fisheries production (metric tons);ER.FSH.PROD.MT;1476780;1623210;1726060;1838894;2057936;2100208;2217362;2559660;3078567;2992106;2387662;2275788;2539241;2691134;2657170;2396713;2128945;2067838;2036087;1928555;1788185;1847655;1836593;1986880;1911189;1947422;2068415;2801297;2766925.31;2318193.03;2367494.2;2148598.75;2838879.31;2839160.36;2605907.08;2640482.74;2418947.15;2559300.83;2732774.37;2792358.95;3033871.91;3115109.56;3233120.83;3346890.25;3533776.25;3466266.65;3208892.2;3408856.7;3263766.35;3191774.95;3470195.24;3516955.35;3869298.65;3642975.75;3929276.98;4144860.47;4188582.78;4268055.22;4252496.99;4295166.75;4275133.64;4477326.09;
Afghanistan;AFG;Total fisheries production (metric tons);ER.FSH.PROD.MT;200;300;300;300;300;300;300;400;400;460;460;560;560;560;560;660;770;770;770;770;870;870;870;970;970;970;970;1170;1170;1170;1400;1400;1500;1500;1600;1600;1600;1550;1500;1500;1300;1250;1350;1350;1450;1450;1450;2050;2050;2650;3250;4000;4780;5560;6360;7200;8050;9000;10000;10729;11444;12607;
Africa Western and Central;AFW;Total fisheries production (metric tons);ER.FSH.PROD.MT;470510;494010;540130;562050;626470;658780;716500;763396;748606;811431;915875;1078569;1169347;1168338;1197890;1245962;1233858;1262646;1271757;1278195;1261811;1261316;1254112;1293379;1289539;1299842;1405505;1469374;1456916;1554458;1624289.04;1545363.1;1720271;1631566;1600550;1824648;2024862;2066157;2070564;2175978;2165617;2182691;2114706;2267949;2277966.4;2301081.89;2320321.99;2263765.01;2496674.14;2565295;2677213.24;2862159.77;2963970.88;3106636.91;3207211.31;3132669.89;3243255.47;3706221.13;3642910.34;3666748.25;3551132.12;3702946.64;
Angola;AGO;Total fisheries production (metric tons);ER.FSH.PROD.MT;257300;246800;274800;245300;362000;263300;335300;299300;303100;425200;374501;324322;606656;478659;399784;160581;81542;120407;125630;113072;85085;130957;111488;110376;95188;100093;84660;107490;126031;137465;133088;117104;113625;126200;132413;122781;137815;146304;163149;175799;239356;254564;255494;212105;240094;202742;225897;306626;306050;272302;310310;342310;374310;407057;442389;496104;487145;532914;444828;401696;377407;531772;
Albania;ALB;Total fisheries production (metric tons);ER.FSH.PROD.MT;2600;3200;2800;3000;3000;4000;4000;5000;6000;7000;8000;8000;8000;8000;8500;8500;8500;8500;9000;9000;9000;9376;9511;9815;8006;11399;11922.2;13134.4;14559.3;11961.4;15015.6;3871;3093.2;2889;2495;1720.3;2449.2;1110.8;2807.5;3057.9;3635;3597.2;4516.8;4274.6;6118.5;6473;7709.3;7505.4;7365;8128;7652.2;7150.2;12055.2;12673.09;12705.05;11350.1;12612.09;12993.2;14906.3;15011.5;16711.16;18282.5;
Andorra;AND;Total fisheries production (metric tons);ER.FSH.PROD.MT;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Arab World;ARB;Total fisheries production (metric tons);ER.FSH.PROD.MT;453263;482181;507353;517995;571758;567211;667451;609459;576886;591002;636557;644472;716237;888979;855733;826319;901060;867855;872516.9;916865.8;967571.1;988045.08;988561.64;1108194.24;1147030.88;1233049.99;1368466.55;1357677.05;1528614.65;1450325.32;1505719.06;1555997.55;1543551.81;1642259.32;1858422.47;2009043.68;1794630.81;1996895.51;2013617.7;2161199.98;2420498.93;2749624.49;2667882.47;2747632.22;2792310.47;2925450.11;2914950.44;2900114.72;2999088.5;3239416.09;3353356.97;3210727.63;3556382.21;3731371.91;3870129.62;3898274.93;4205692.79;4286737.38;4683294.31;4892273.27;4964954.73;5168707.83;
United Arab Emirates;ARE;Total fisheries production (metric tons);ER.FSH.PROD.MT;30000;30000;35000;35000;35000;38000;38000;40000;40000;40000;40000;43000;43000;43000;67800;67800;64600;64600;64600;64600;64600;67760;69755;72716;72723;72267;79328;85252;89506;91162;95129;92336;95046;99600;108600;105884;107000;114358;114739;117607;105456;112561;97574;97450;90570;87325;101013;97097;75418;77835;70788;67026;69586;64158;65700;64052;65905.9;68004;67049;65873;61996.78;63851.94;
Argentina;ARG;Total fisheries production (metric tons);ER.FSH.PROD.MT;103800;101900;101307;130573;168608;205005;250805;240868;223132;202815;214519;228631;237975;302020;296001;232251;281776;402780;541959;580735;400101;374882;488235;428207;322692;419724;422663;461892;496394;494983;561157;642671;745984;985251;1000460;1176947;1291387;1390864;1166429;1088144;923584;932421;947642;911847;946694;931994;1174508;988366;997783;864556.95;814403.35;796501.25;741018.42;874530.12;833937.71;817962.65;758899.48;838628.76;838592.31;828687.19;839673.99;856252.8;
